tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-comments,animal-life-stage,animal-mass,animal-nickname,animal-ring-id,animal-sex,attachment-type,deploy-on-latitude,deploy-on-longitude,deployment-comments,deployment-end-type,deployment-id,location-accuracy-comments,manipulation-type,study-site,tag-manufacturer-name,tag-mass,tag-readout-method,tag-serial-no
5635,5515867,Haematopus ostralegus,2018-05-04 09:30:00.000,2019-05-09 21:28:00.000,,adult,550.0,,RG-CHYZ,u,harness,53.00088333,6.59388889,"Tracker malfunction, tagged with new tracker 5750.",equipment failure,15652,provided by the GPS unit,none,O_ASSEN,UvA-BiTS,13.2,other wireless,5635
5644,5515868,Haematopus ostralegus,2018-05-04 11:43:00.000,,,adult,490.0,,RR-BSOA,u,harness,52.976875,6.56972222,,,15653,provided by the GPS unit,none,O_ASSEN,UvA-BiTS,13.2,other wireless,5644
5628,5515869,Haematopus ostralegus,2018-05-09 10:15:00.000,,,adult,560.0,,RR-BSOB,u,harness,53.02413889,6.56055556,,,15654,provided by the GPS unit,none,O_ASSEN,UvA-BiTS,13.2,other wireless,5628
5642,5515851,Haematopus ostralegus,2018-05-09 14:15:00.000,,,adult,500.0,,RR-BNOZ,u,harness,53.00776667,6.58055556,,,15655,provided by the GPS unit,none,O_ASSEN,UvA-BiTS,13.1,other wireless,5642
5821,5515878,Haematopus ostralegus,2019-05-09 19:45:00.000,,,adult,510.0,,RR-BSOQ,u,harness,52.97681188,6.56771116,,,15797,provided by the GPS unit,none,O_ASSEN,UvA-BiTS,13.7,other wireless,5821
5822,5515879,Haematopus ostralegus,2019-05-09 20:30:00.000,2019-05-14 00:00:00.000,,adult,530.0,,RR-BSOQ,u,harness,52.97282537,6.53854337,"Found dead, possibly predated by peregrine falcon.",dead,15796,provided by the GPS unit,none,O_ASSEN,UvA-BiTS,13.6,other wireless,5822
5750,5515867,Haematopus ostralegus,2019-05-10 09:00:00.000,,,adult,550.0,,RG-CHYZ,u,harness,53.00068584,6.59381353,Bird originally tracked with tracker 5635.,,15795,provided by the GPS unit,none,O_ASSEN,UvA-BiTS,13.4,other wireless,5750
